"","varname","label"
"1","s1","Subj: How satisfied are you with your current financial situation?"
"2","s2","Subj: How satisfied are you with your current financial situation?"
"3","s3","Subj:Would you consider the current level of food consumption of your family as:"
"4","s4","Subj:Would you consider the current level of food consumption of your family as:"
"5","s5","Subj:Would you consider the current level of food consumption of your family as:"
"6","s6","Subj:Would you consider the current level of expenditures of your family for foo"
"7","s7","Subj:Would you consider the current level of expenditures of your family for foo"
"8","s8","Subj:Would you consider the current level of expenditures of your family for foo"
"9","s9","Subj:Concern about being able to provide yourself and your family with food/basi"
"10","s10","Subj:Concern about being able to provide yourself and your family with food/basi"
"11","s11","Subj: How satisfied are you with your current financial situation?"
"12","s12","Subj: How satisfied are you with your current financial situation?"
"13","s13","Subj:Would you consider the current level of food consumption of your family as:"
"14","s14","Subj:Would you consider the current level of food consumption of your family as:"
"15","o1","Subj:Would you consider the current level of food consumption of your family as:"
"16","o2","Subj:Would you consider the current level of expenditures of your family for foo"
"17","o3","Subj:Would you consider the current level of expenditures of your family for foo"
"18","o4","Subj:Would you consider the current level of expenditures of your family for foo"
"19","o5","Subj:Concern about being able to provide yourself and your family with food/basi"
"20","o6","Subj:Concern about being able to provide yourself and your family with food/basi"
"21","o8","Subj: How satisfied are you with your current financial situation?"
"22","o10","Subj: How satisfied are you with your current financial situation?"
"23","o12","Subj:Would you consider the current level of food consumption of your family as:"
"24","o13","Subj:Would you consider the current level of food consumption of your family as:"
"25","o15","Subj:Would you consider the current level of food consumption of your family as:"
"26","o16","Subj:Would you consider the current level of expenditures of your family for foo"
"27","o17","Subj:Would you consider the current level of expenditures of your family for foo"
"28","o18","Subj:Would you consider the current level of expenditures of your family for foo"
"29","o19","Subj:Concern about being able to provide yourself and your family with food/basi"
"30","o20","Subj:Concern about being able to provide yourself and your family with food/basi"
"31","o21","Subj: How satisfied are you with your current financial situation?"
"32","o22","Subj: How satisfied are you with your current financial situation?"
"33","m1","Subj:Would you consider the current level of food consumption of your family as:"
"34","m2","Subj:Would you consider the current level of food consumption of your family as:"
"35","m3","Subj:Would you consider the current level of food consumption of your family as:"
"36","m4","Subj:Would you consider the current level of expenditures of your family for foo"
"37","m5","Subj:Would you consider the current level of expenditures of your family for foo"
"38","m6","Subj:Would you consider the current level of expenditures of your family for foo"
"39","m7","Subj:Concern about being able to provide yourself and your family with food/basi"
"40","m8","Subj:Concern about being able to provide yourself and your family with food/basi"
"41","m9","Subj: How satisfied are you with your current financial situation?"
"42","m10","Subj: How satisfied are you with your current financial situation?"
"43","m11","Subj:Would you consider the current level of food consumption of your family as:"
"44","m12","Subj:Would you consider the current level of food consumption of your family as:"
"45","m13","Subj:Would you consider the current level of food consumption of your family as:"
"46","m14","Subj:Would you consider the current level of expenditures of your family for foo"
"47","m15","Subj:Would you consider the current level of expenditures of your family for foo"
"48","m16","Subj:Would you consider the current level of expenditures of your family for foo"
"49","m17","Subj:Concern about being able to provide yourself and your family with food/basi"
"50","m18","Subj:Concern about being able to provide yourself and your family with food/basi"
"51","m19","Subj: How satisfied are you with your current financial situation?"
"52","m20","Subj: How satisfied are you with your current financial situation?"
